Time,shippingservice,currencyservice,productcatalogservice,checkoutservice,emailservice,adservice,cartservice,paymentservice,recommendationservice,frontend,Total
2020-12-13 19:02:39,0.4912280701754386,2.282038721290564,0.4508992444447104,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,79.52392002231966,162.9602681185121
2020-12-13 19:02:40,0.4912280701754386,2.2564659667638773,0.4496999988200512,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,79.52392002231966,162.93349611836072
2020-12-13 19:02:41,0.4912280701754386,2.245553146481692,0.4547344964648373,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,78.86819228102596,162.27189005442958
2020-12-13 19:02:42,0.4912280701754386,2.245553146481692,0.4547344964648373,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,78.86819228102596,162.27189005442958
2020-12-13 19:02:43,0.4912280701754386,2.205664771274664,0.4571758041365058,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,77.77966959152928,161.1459202973976
2020-12-13 19:02:44,0.4912280701754386,2.205664771274664,0.4550885805230965,60.00000000000001,3.0,2.2086330935251803,4.84,1.5999999999999996,9.226190476190474,77.77966959152928,161.80647458321812
2020-12-13 19:02:45,0.4912280701754386,2.18618220090541,0.4550384420234565,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,77.77966959152928,150.10360854101592
2020-12-13 19:02:46,0.4912280701754386,2.1834507582149967,0.4522052495632333,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,78.35196004406421,150.6703343584002
2020-12-13 19:02:47,0.4912280701754386,2.252150289482333,0.4445289213638312,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,78.35196004406421,150.73135756146812
2020-12-13 19:02:48,0.4912280701754386,2.2542013490458834,0.4518394507208625,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,78.5367900891993,150.9255491955238
2020-12-13 19:02:49,0.4912280701754386,2.2542013490458834,0.4582642355648376,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,77.74904721013354,150.14423110130198
2020-12-13 19:02:50,0.4912280701754386,2.2542013490458834,0.4582642355648376,47.91666666666667,3.0,2.2086330935251803,4.84,2.0,9.226190476190474,77.74904721013354,150.14423110130198
2020-12-13 19:02:51,0.4912280701754386,2.275145035353213,0.4582642355648376,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,77.74904721013354,154.61706715156345
2020-12-13 19:02:52,0.4912280701754386,2.275145035353213,0.4582642355648376,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,77.74904721013354,154.61706715156345
2020-12-13 19:02:53,0.3928571428571429,2.3031190638419226,0.4573378398431279,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,99.99872799974634,176.79542464662498
2020-12-13 19:02:54,0.3928571428571429,2.3349421373823147,0.46934944135351897,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,99.99872799974634,176.8392593216758
2020-12-13 19:02:55,0.3928571428571429,2.3364538575234004,0.4752717670889717,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,99.99872799974634,176.8466933675523
2020-12-13 19:02:56,0.3928571428571429,2.303048553866112,0.4746934214553394,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,103.94537276865444,180.7593544871695
2020-12-13 19:02:57,0.3928571428571429,2.303048553866112,0.4746934214553394,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,103.94537276865444,180.7593544871695
2020-12-13 19:02:58,0.3928571428571429,2.3467257117383653,0.4783141546413203,47.91666666666667,3.0,2.6301369863013706,4.84,2.0,13.25657894736842,109.12923628205624,185.9905158916296
