Time,frontend,currencyservice,cartservice,adservice,emailservice,paymentservice,recommendationservice,checkoutservice,shippingservice,productcatalogservice,Total
2020-12-17 21:44:01,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:44:02,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:44:03,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:44:04,100.0,3.4000000000000004,8.75,7.5,,,13.75,,,3.095238095238096,136.4952380952381
2020-12-17 21:44:05,100.0,3.4000000000000004,8.75,7.5,,,13.75,,,3.095238095238096,136.4952380952381
2020-12-17 21:44:06,100.0,3.4000000000000004,8.75,7.5,,,13.75,,,3.095238095238096,136.4952380952381
2020-12-17 21:44:07,100.0,3.4000000000000004,8.75,7.5,,,13.75,,,3.095238095238096,136.4952380952381
2020-12-17 21:44:08,100.0,3.4000000000000004,8.75,7.5,,,13.75,,,3.095238095238096,136.4952380952381
2020-12-17 21:44:09,100.0,3.0769230769230766,8.75,7.5,,,13.75,,,3.095238095238096,136.1721611721612
2020-12-17 21:44:10,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.095238095238096,127.4221611721612
2020-12-17 21:44:11,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:12,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:13,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:14,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:15,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:16,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:17,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:18,87.50000000000001,3.0769230769230766,8.75,7.5,,,17.5,,,3.117647058823529,127.44457013574663
2020-12-17 21:44:19,87.50000000000001,3.0769230769230766,7.499999999999999,7.5,,,17.5,,3.0,3.117647058823529,129.19457013574663
2020-12-17 21:44:20,87.50000000000001,3.0769230769230766,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,131.69457013574663
2020-12-17 21:44:21,87.50000000000001,3.0769230769230766,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,131.69457013574663
2020-12-17 21:44:22,87.50000000000001,3.0769230769230766,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,131.69457013574663
2020-12-17 21:44:23,87.50000000000001,3.0769230769230766,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,131.69457013574663
2020-12-17 21:44:24,87.50000000000001,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,132.01764705882357
2020-12-17 21:44:25,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,3.117647058823529,132.01764705882354
2020-12-17 21:44:26,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:27,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:28,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:29,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:30,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:31,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:32,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:33,87.5,3.4000000000000004,7.499999999999999,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:34,87.5,3.4000000000000004,7.5,10.0,,,17.5,,3.0,1.2,130.1
2020-12-17 21:44:35,87.5,3.4000000000000004,7.5,3.0,,,17.5,,3.0,1.2,123.1
2020-12-17 21:44:36,87.5,3.4000000000000004,7.5,3.0,,,17.5,,3.0,1.2,123.1
2020-12-17 21:44:37,87.5,3.4000000000000004,7.5,3.0,,,17.5,,3.0,1.2,123.1
2020-12-17 21:44:38,87.5,3.4000000000000004,7.5,3.0,,,17.5,,3.0,1.2,123.1
2020-12-17 21:44:39,87.5,3.0,7.5,3.0,,,17.5,,3.0,1.2,122.7
2020-12-17 21:44:40,137.5,3.0,7.5,3.0,,,17.5,,3.0,1.2,172.7
2020-12-17 21:44:41,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:42,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:43,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:44,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:45,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:46,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:47,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:48,137.5,3.0,7.5,3.0,,,17.5,,3.0,2.8823529411764706,174.38235294117646
2020-12-17 21:44:49,137.5,3.0,5.0,3.0,,,17.5,,3.0,2.8823529411764706,171.88235294117646
2020-12-17 21:44:50,137.5,3.0,5.0,5.0,,,17.5,,3.0,2.8823529411764706,173.88235294117646
2020-12-17 21:44:51,137.5,3.0,5.0,5.0,,,17.5,,3.0,2.8823529411764706,173.88235294117646
2020-12-17 21:44:52,137.5,3.0,5.0,5.0,,,17.5,,3.0,2.8823529411764706,173.88235294117646
2020-12-17 21:44:53,137.5,3.0,5.0,5.0,,,17.5,,3.0,2.8823529411764706,173.88235294117646
2020-12-17 21:44:54,137.5,0.5,5.0,5.0,,,17.5,,3.0,2.8823529411764706,171.38235294117646
2020-12-17 21:44:55,75.0,0.5,5.0,5.0,,,5.0,,3.0,2.8823529411764706,96.38235294117645
2020-12-17 21:44:56,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:44:57,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:44:58,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:44:59,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:45:00,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:45:01,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:45:02,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:45:03,75.0,0.5,5.0,5.0,,,5.0,,3.0,3.0,96.5
2020-12-17 21:45:04,75.0,0.5,5.0,5.0,,,5.0,,,3.0,93.5
2020-12-17 21:45:05,75.0,0.5,5.0,3.0,,,5.0,,,3.0,91.5
2020-12-17 21:45:06,75.0,0.5,5.0,3.0,,,5.0,,,3.0,91.5
2020-12-17 21:45:07,75.0,0.5,5.0,3.0,,,5.0,,,3.0,91.5
2020-12-17 21:45:08,75.0,0.5,5.0,3.0,,,5.0,,,3.0,91.5
2020-12-17 21:45:09,75.0,3.0,5.0,3.0,,,5.0,,,3.0,94.0
2020-12-17 21:45:10,75.0,3.0,5.0,3.0,,,10.0,,,3.0,99.0
2020-12-17 21:45:11,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:12,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:13,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:14,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:15,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:16,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:17,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:18,75.0,3.0,5.0,3.0,,,10.0,,,0.5,96.5
2020-12-17 21:45:19,75.0,3.0,7.5,3.0,,,10.0,,,0.5,99.0
2020-12-17 21:45:20,75.0,3.0,7.5,5.0,,,10.0,,,0.5,101.0
2020-12-17 21:45:21,75.0,3.0,7.5,5.0,,,10.0,,,0.5,101.0
2020-12-17 21:45:22,75.0,3.0,7.5,5.0,,,10.0,,,0.5,101.0
2020-12-17 21:45:23,75.0,3.0,7.5,5.0,,,10.0,,,0.5,101.0
2020-12-17 21:45:24,75.0,4.5,7.5,5.0,,,10.0,,,0.5,102.5
2020-12-17 21:45:25,137.5,4.5,7.5,5.0,,,3.0,,,0.5,158.0
2020-12-17 21:45:26,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:27,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:28,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:29,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:30,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:31,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:32,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:33,137.5,4.5,7.5,5.0,,,3.0,,,2.8666666666666667,160.36666666666667
2020-12-17 21:45:34,137.5,4.5,5.0,5.0,,,3.0,,3.0,2.8666666666666667,160.86666666666667
2020-12-17 21:45:35,137.5,4.5,5.0,5.0,,,3.0,,3.0,2.8666666666666667,160.86666666666667
2020-12-17 21:45:36,137.5,4.5,5.0,5.0,,,3.0,,3.0,2.8666666666666667,160.86666666666667
2020-12-17 21:45:37,137.5,4.5,5.0,5.0,,,3.0,,3.0,2.8666666666666667,160.86666666666667
2020-12-17 21:45:38,137.5,4.5,5.0,5.0,,,3.0,,3.0,2.8666666666666667,160.86666666666667
2020-12-17 21:45:39,137.5,3.0,5.0,5.0,,,3.0,,3.0,2.8666666666666667,159.36666666666667
2020-12-17 21:45:40,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.8666666666666667,107.61666666666666
2020-12-17 21:45:41,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:42,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:43,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:44,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:45,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:46,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:47,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:48,75.0,3.0,5.0,5.0,,,13.75,,3.0,2.294117647058824,107.04411764705885
2020-12-17 21:45:49,75.0,3.0,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.87745098039215
2020-12-17 21:45:50,75.0,3.0,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.87745098039215
2020-12-17 21:45:51,75.0,3.0,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.87745098039215
2020-12-17 21:45:52,75.0,3.0,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.87745098039215
2020-12-17 21:45:53,75.0,3.0,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.87745098039215
2020-12-17 21:45:54,75.0,3.0869565217391304,5.833333333333332,5.0,,,13.75,,3.0,2.294117647058824,107.9644075021313
2020-12-17 21:45:55,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,2.294117647058824,153.38107416879794
2020-12-17 21:45:56,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:45:57,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:45:58,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:45:59,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:46:00,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:46:01,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:46:02,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:46:03,125.0,3.0869565217391304,5.833333333333332,5.0,,,9.166666666666666,,3.0,3.0625,154.14945652173913
2020-12-17 21:46:04,125.0,3.0869565217391304,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.81612318840578
2020-12-17 21:46:05,125.0,3.0869565217391304,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.81612318840578
2020-12-17 21:46:06,125.0,3.0869565217391304,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.81612318840578
2020-12-17 21:46:07,125.0,3.0869565217391304,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.81612318840578
2020-12-17 21:46:08,125.0,3.0869565217391304,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.81612318840578
2020-12-17 21:46:09,125.0,3.25,6.25,5.0,,,9.166666666666666,,0.25,3.0625,151.97916666666666
2020-12-17 21:46:10,75.0,3.25,6.25,5.0,,,8.75,,0.25,3.0625,101.5625
2020-12-17 21:46:11,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:12,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:13,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:14,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:15,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:16,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:17,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:18,75.0,3.25,6.25,5.0,,,8.75,,0.25,1.7142857142857142,100.21428571428572
2020-12-17 21:46:19,75.0,3.25,7.5,5.0,,,8.75,,,1.7142857142857142,101.21428571428572
2020-12-17 21:46:20,75.0,3.25,7.5,6.25,,,8.75,,,1.7142857142857142,102.46428571428572
2020-12-17 21:46:21,75.0,3.25,7.5,6.25,,,8.75,,,1.7142857142857142,102.46428571428572
2020-12-17 21:46:22,75.0,3.25,7.5,6.25,,,8.75,,,1.7142857142857142,102.46428571428572
2020-12-17 21:46:23,75.0,3.25,7.5,6.25,,,8.75,,,1.7142857142857142,102.46428571428572
2020-12-17 21:46:24,75.0,3.0,7.5,6.25,,,8.75,,,1.7142857142857142,102.21428571428572
2020-12-17 21:46:25,75.0,3.0,7.5,6.25,,,17.5,,,1.7142857142857142,110.96428571428572
2020-12-17 21:46:26,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:27,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:28,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:29,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:30,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:31,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:32,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:33,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:34,75.0,3.0,7.5,6.25,,,17.5,,,3.0,112.25
2020-12-17 21:46:35,75.0,3.0,7.5,3.0,,,17.5,,,3.0,109.0
2020-12-17 21:46:36,75.0,3.0,7.5,3.0,,,17.5,,,3.0,109.0
