Time,redis-cart
2019-10-02 11:53:00,7.993969349032895
2019-10-02 11:54:00,7.60453385806125
2019-10-02 11:55:00,7.768202992577078
2019-10-02 11:56:00,7.645051584131283
2019-10-02 11:57:00,8.818882681501064
2019-10-02 11:58:00,9.567390588632176
2019-10-02 11:59:00,9.530125835801753
2019-10-02 12:00:00,9.283675167769236
2019-10-02 12:01:00,8.693553688053386
2019-10-02 12:02:00,9.176008693528944
2019-10-02 12:03:00,8.126451606254298
2019-10-02 12:04:00,7.8246359640972845
2019-10-02 12:05:00,7.586480925585151
2019-10-02 12:06:00,6.5907416412117925
2019-10-02 12:07:00,7.200523059387506
2019-10-02 12:08:00,7.617039315544283
2019-10-02 12:09:00,7.583848640251912
2019-10-02 12:10:00,7.6651190605478705
2019-10-02 12:11:00,7.3702510747114
