Time,frontend,redis-cart,checkoutservice,currencyservice,recommendationservice,emailservice,productcatalogservice,adservice,cartservice,paymentservice,shippingservice,Total
2020-11-06 02:01:34,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:35,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:36,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:37,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:38,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:39,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:40,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:41,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:42,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:43,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:44,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:45,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:46,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:47,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:48,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:49,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:50,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:51,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:52,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:53,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:54,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:55,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:56,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:57,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:58,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:01:59,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:00,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:01,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:02,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:03,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:04,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:05,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:06,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:07,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:08,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:09,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:10,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
2020-11-06 02:02:11,6.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0
