Time,productcatalogservice,adservice,cartservice,checkoutservice,emailservice,paymentservice,recommendationservice,frontend,currencyservice,shippingservice,Total
2020-12-14 15:16:10,3.2757171003707724,4.084598698481562,19.25431711145997,227.5,4.538461538461538,2.914893617021277,22.582463366822072,2065.43350862124,8.321326093477692,3.3539823008849563,2361.2592684482197
2020-12-14 15:16:11,3.2757171003707724,4.084598698481562,19.25431711145997,227.5,4.538461538461538,2.914893617021277,22.582463366822072,2065.43350862124,8.321326093477692,3.3539823008849563,2361.2592684482197
2020-12-14 15:16:12,3.274038507278972,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.837605159721512,2070.676439511325,8.321326093477692,3.3539823008849563,2439.580837363287
2020-12-14 15:16:13,3.274038507278972,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.837605159721512,1651.2984049385282,8.321326093477692,3.3539823008849563,2020.2028027904905
2020-12-14 15:16:14,3.2411805544273258,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.837605159721512,1651.2984049385282,8.321326093477692,3.3539823008849563,2020.169944837639
2020-12-14 15:16:15,3.201587291904228,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.837605159721512,1651.2984049385282,8.321326093477692,3.3539823008849563,2020.130351575116
2020-12-14 15:16:16,3.201587291904228,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.837605159721512,1651.2984049385282,7.6512234342413725,3.3539823008849563,2019.4602489158792
2020-12-14 15:16:17,3.197554613353057,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.914893617021277,22.73445784528122,1651.2984049385282,7.6512234342413725,3.3539823008849563,2019.3530689228878
2020-12-14 15:16:18,3.197554613353057,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,22.73445784528122,1651.2984049385282,7.6512234342413725,3.3539823008849563,2019.0597969274882
2020-12-14 15:16:19,3.197554613353057,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,22.73445784528122,1651.2984049385282,7.6512234342413725,3.3539823008849563,2019.0597969274882
2020-12-14 15:16:20,3.1657486380240534,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,22.73445784528122,1651.2984049385282,7.6512234342413725,3.3539823008849563,2019.0279909521591
2020-12-14 15:16:21,3.169295595516478,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,22.73445784528122,1651.2984049385282,7.833631050498272,3.3539823008849563,2019.2139455259085
2020-12-14 15:16:22,3.1816319342184736,4.084598698481562,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,23.519001843795,1651.2984049385282,7.833631050498272,3.3539823008849563,2020.0108258631244
2020-12-14 15:16:23,3.177657577153127,4.536585365853659,19.25431711145997,301.1363636363636,3.727272727272728,2.621621621621622,23.519001843795,1651.2984049385282,7.833631050498272,3.1319796954314714,2020.2368355679776
2020-12-14 15:16:24,3.1495918584145954,4.536585365853659,18.564814814814817,301.1363636363636,3.727272727272728,2.621621621621622,23.663343177641906,1651.2984049385282,7.833631050498272,3.1319796954314714,2019.6636088864407
2020-12-14 15:16:25,3.1321486522940334,4.536585365853659,18.564814814814817,301.1363636363636,3.727272727272728,2.621621621621622,23.663343177641906,1651.2984049385282,7.594264214094005,3.1319796954314714,2019.406798843916
2020-12-14 15:16:26,3.1321486522940334,4.536585365853659,18.564814814814817,301.1363636363636,3.727272727272728,2.621621621621622,23.663343177641906,1651.2984049385282,7.594264214094005,3.1319796954314714,2019.406798843916
2020-12-14 15:16:27,3.165101525447942,4.536585365853659,18.564814814814817,200.0,3.4827586206896552,2.621621621621622,22.707649742210737,1650.5519441674976,7.594264214094005,3.1319796954314714,1916.3567197676612
2020-12-14 15:16:28,3.165101525447942,4.536585365853659,18.564814814814817,200.0,3.4827586206896552,2.621621621621622,22.707649742210737,1750.8788484136307,7.594264214094005,3.1319796954314714,2016.6836240137945
2020-12-14 15:16:29,3.243230747791144,4.536585365853659,18.564814814814817,200.0,3.4827586206896552,2.621621621621622,22.707649742210737,1750.8788484136307,7.594264214094005,3.1319796954314714,2016.7617532361373
