Time,currencyservice,emailservice,recommendationservice,productcatalogservice,frontend,shippingservice,cartservice,checkoutservice,adservice,paymentservice,Total
2020-12-15 14:45:48,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,114.1450681761367,2.1681415929203536,8.020304568527918,150.0,2.980392156862745,3.1333333333333333,298.4061334998072
2020-12-15 14:45:49,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,114.1450681761367,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,270.9061334998072
2020-12-15 14:45:50,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,114.1450681761367,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,270.9061334998072
2020-12-15 14:45:51,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,114.1450681761367,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,270.9061334998072
2020-12-15 14:45:52,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,114.1450681761367,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,270.9061334998072
2020-12-15 14:45:53,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,112.16171168668528,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,268.92277701035573
2020-12-15 14:45:54,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,112.6755808770687,2.1681415929203536,8.020304568527918,122.5,2.980392156862745,3.1333333333333333,269.4366462007391
2020-12-15 14:45:55,3.1284403669724767,3.0,9.978731723634457,1.8517215814192003,112.6755808770687,2.1681415929203536,8.020304568527918,122.5,2.1698113207547167,3.1333333333333333,268.6260653646311
2020-12-15 14:45:56,3.1284403669724767,3.0,9.857661083983103,1.6982500856986211,114.78823246601378,2.1681415929203536,8.020304568527918,122.5,2.1698113207547167,3.1333333333333333,270.4641748182043
2020-12-15 14:45:57,3.1284403669724767,3.0,9.857661083983103,1.6982500856986211,114.78823246601378,2.1681415929203536,8.020304568527918,122.5,2.1698113207547167,3.1333333333333333,270.4641748182043
2020-12-15 14:45:58,3.1284403669724767,3.0,9.857661083983103,1.6982500856986211,105.71388523877657,1.5333333333333337,8.020304568527918,122.5,2.1698113207547167,3.0,260.6216859980467
2020-12-15 14:45:59,2.7821457821457813,3.0,9.857661083983103,1.6982500856986211,105.71388523877657,1.5333333333333337,8.020304568527918,122.5,2.1698113207547167,3.0,260.27539141322
2020-12-15 14:46:00,2.7821457821457813,3.0,9.857661083983103,1.6982500856986211,105.71388523877657,1.5333333333333337,5.961538461538462,122.5,2.1698113207547167,3.0,258.2166253062305
2020-12-15 14:46:01,2.7821457821457813,3.3000000000000003,9.395865253530157,1.6982500856986211,87.64707174234202,1.5333333333333337,5.961538461538462,122.5,2.1698113207547167,3.0,239.98801597934312
