Time,currencyservice,frontend,productcatalogservice,shippingservice,checkoutservice,adservice,paymentservice,emailservice,cartservice,recommendationservice,Total
2020-11-10 19:26:00,18.475,3406.746031746032,16.47911832946636,3.7375000000000003,291.66666666666663,4.931818181818183,3.235294117647059,3.4166666666666665,15.178571428571427,159.21052631578948,3923.0771934526574
2020-11-10 19:27:00,15.475260416666668,3074.786324786325,19.023316062176164,3.6976744186046515,381.94444444444446,6.883561643835618,3.6896551724137927,3.2162162162162162,17.39090909090909,213.3211678832117,3739.4285301348036
2020-11-10 19:28:00,17.902638762511373,3520.76802507837,14.33271375464684,3.6000000000000005,318.1818181818182,5.277777777777779,3.2399999999999998,3.7199999999999998,16.513698630136986,305.55555555555554,4209.092227740816
2020-11-10 19:29:00,22.21666666666667,4525.993883792049,19.195859872611464,4.422535211267606,357.1428571428571,5.946745562130176,3.8000000000000003,3.4,14.979166666666664,332.070707070707,5289.168421984956
2020-11-10 19:30:00,14.428152492668621,3759.0361445783133,11.945020746887966,4.093333333333334,479.1666666666667,3.8503401360544216,5.0,3.5,19.38284518828452,628.2051282051282,4928.607631347337
2020-11-10 19:31:00,11.220414201183432,2446.1325966850827,13.102850539291218,3.5714285714285716,517.8571428571429,4.051597051597052,2.7241379310344827,3.0,14.545454545454549,327.1276595744682,3343.333281956683
2020-11-10 19:32:00,14.421832656100639,3622.89289084334,7.411444800598927,4.426356589147286,500.0,6.4285714285714315,2.888888888888889,3.055555555555556,21.394736842105267,48.84409359233281,4231.76437119664
2020-11-10 19:33:00,8.26288860553279,2262.6048154126966,7.610275225988905,3.548076923076923,322.91666666666663,5.128205128205129,3.6206896551724137,3.1333333333333333,16.7626404494382,37.65087764760437,2671.2384690477147
2020-11-10 19:34:00,9.656844339149204,2346.9446422959927,8.165614770971164,3.2076502732240435,221.15384615384613,4.472463768115942,3.066666666666667,3.097560975609756,14.528985507246379,32.37697664357176,2646.671251394394
2020-11-10 19:35:00,9.273903431333395,2982.872820816183,6.69405244085328,3.3333333333333335,375.0,4.886685552407932,3.482758620689655,3.122448979591837,14.748322147651004,36.41313543968984,3439.8274607617336
2020-11-10 19:36:00,9.050222272764001,2181.5665932822385,5.7069057794504,3.814814814814815,402.17391304347825,4.6997167138810205,3.0930232558139537,3.3000000000000003,15.944924406047514,42.11711711711712,2671.467230685606
2020-11-10 19:37:00,8.57085078559687,1968.5733411621127,4.236985311795179,3.310679611650485,146.875,4.388888888888889,2.767441860465116,3.2105263157894735,11.30239520958084,30.293502322728216,2183.529611468608
2020-11-10 19:38:00,8.070718970830544,2089.416183271445,4.296126311223832,3.2532751091703056,203.125,4.566750629722923,3.097560975609756,3.272727272727273,12.735562310030394,38.36809511634035,2370.2019999671
2020-11-10 19:39:00,8.246040814075068,2592.0389622897737,4.742083749622553,3.224215246636771,225.8928571428571,4.587628865979381,3.2,3.2666666666666666,14.28200692041522,30.100964240445784,2889.5814259364724
2020-11-10 19:40:00,9.584936939733495,2035.539959690843,5.301659977077998,3.4680851063829787,358.69565217391306,4.7927461139896375,3.3809523809523814,3.292682926829268,14.56692913385827,39.22685159083648,2477.8504560344168
