Time,recommendationservice,adservice,currencyservice,cartservice,shippingservice,checkoutservice,frontend,paymentservice,emailservice,productcatalogservice,Total
2020-11-10 16:23:21,12.231012658227847,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.4864648691883244,228.40515745039696
2020-11-10 16:23:22,12.231012658227847,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.4864648691883244,228.40515745039696
2020-11-10 16:23:23,12.231012658227847,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.395453907278212,228.31414648848687
2020-11-10 16:23:24,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.395453907278212,226.0324581545833
2020-11-10 16:23:25,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,83.389502040641,2.9047619047619047,3.1428571428571432,1.395453907278212,197.90745815458328
2020-11-10 16:23:26,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,83.389502040641,2.9047619047619047,3.260869565217391,1.395453907278212,198.02547057694355
2020-11-10 16:23:27,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,83.389502040641,2.9047619047619047,3.260869565217391,1.395453907278212,198.02547057694355
2020-11-10 16:23:28,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,83.389502040641,2.9047619047619047,3.260869565217391,1.4418196453688576,198.07183631503418
2020-11-10 16:23:29,9.949324324324325,2.4204545454545454,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,83.389502040641,2.9047619047619047,3.260869565217391,1.4418196453688576,198.07183631503418
2020-11-10 16:23:30,9.949324324324325,2.1038251366120218,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,84.18393561452909,2.9047619047619047,3.260869565217391,1.4418196453688576,198.54964048007977
2020-11-10 16:23:31,9.949324324324325,2.1038251366120218,2.756896565997177,6.117511520737327,1.4556962025316451,84.375,84.18393561452909,2.9047619047619047,3.260869565217391,1.4418196453688576,198.54964048007977
2020-11-10 16:23:32,9.949324324324325,2.1038251366120218,2.756896565997177,6.117511520737327,0.5,84.375,84.18393561452909,2.5,3.260869565217391,1.4418196453688576,197.18918237278626
2020-11-10 16:23:33,9.949324324324325,2.1038251366120218,2.810017271157168,6.117511520737327,0.5,84.375,84.18393561452909,2.5,3.260869565217391,1.4418196453688576,197.24230307794625
2020-11-10 16:23:34,9.949324324324325,2.1038251366120218,2.810017271157168,6.117511520737327,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.4418196453688576,197.85953577147686
2020-11-10 16:23:35,9.949324324324325,2.1038251366120218,2.808173477898249,6.117511520737327,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.4418196453688576,197.85769197821796
2020-11-10 16:23:36,9.949324324324325,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.4418196453688576,198.585974850004
2020-11-10 16:23:37,9.949324324324325,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.4418196453688576,198.585974850004
2020-11-10 16:23:38,9.949324324324325,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.5933508213486198,198.7375060259837
2020-11-10 16:23:39,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,84.375,84.80116830805973,2.5,3.260869565217391,1.8195917550414742,199.01442263535225
2020-11-10 16:23:40,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,128.125,84.80116830805973,2.5,3.260869565217391,1.8195917550414742,242.76442263535225
2020-11-10 16:23:41,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,128.125,84.80116830805973,2.5,3.4000000000000004,1.8195917550414742,242.90355307013485
2020-11-10 16:23:42,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,128.125,84.80116830805973,2.5,3.4000000000000004,1.8195917550414742,242.90355307013485
2020-11-10 16:23:43,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,128.125,84.80116830805973,2.5,3.4000000000000004,1.935185182648186,243.0191464977416
2020-11-10 16:23:44,10.0,2.1038251366120218,2.808173477898249,6.845794392523365,0.5,128.125,84.80116830805973,2.5,3.4000000000000004,1.935185182648186,243.0191464977416
2020-11-10 16:23:45,10.0,2.7230769230769236,2.808173477898249,6.845794392523365,0.5,128.125,84.06392089498497,2.5,3.4000000000000004,1.935185182648186,242.9011508711317
2020-11-10 16:23:46,10.0,2.7230769230769236,2.808173477898249,6.845794392523365,0.5,128.125,84.06392089498497,2.5,3.4000000000000004,1.935185182648186,242.9011508711317
2020-11-10 16:23:47,10.0,2.7230769230769236,2.808173477898249,6.845794392523365,2.032258064516129,128.125,84.06392089498497,2.8666666666666663,3.4000000000000004,1.935185182648186,244.80007560231448
2020-11-10 16:23:48,10.0,2.7230769230769236,2.7300613496932518,6.845794392523365,2.032258064516129,128.125,84.06392089498497,2.8666666666666663,3.4000000000000004,1.935185182648186,244.72196347410954
2020-11-10 16:23:49,10.0,2.7230769230769236,2.7300613496932518,6.845794392523365,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.935185182648186,244.52361535923043
2020-11-10 16:23:50,10.0,2.7230769230769236,2.5823529411764703,6.845794392523365,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.935185182648186,244.37590695071358
2020-11-10 16:23:51,10.0,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.935185182648186,243.637896989328
2020-11-10 16:23:52,10.0,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.935185182648186,243.637896989328
2020-11-10 16:23:53,10.0,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.6628862470829198,243.3655980537627
2020-11-10 16:23:54,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,128.125,83.86557278010585,2.8666666666666663,3.4000000000000004,1.6628862470829198,242.8876568772921
2020-11-10 16:23:55,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,83.86557278010585,2.8666666666666663,3.4000000000000004,1.6628862470829198,289.76265687729205
2020-11-10 16:23:56,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,83.86557278010585,2.8666666666666663,3.125,1.6628862470829198,289.48765687729207
2020-11-10 16:23:57,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,83.86557278010585,2.8666666666666663,3.125,1.6628862470829198,289.48765687729207
2020-11-10 16:23:58,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,83.86557278010585,2.8666666666666663,3.125,1.529042615962806,289.35381324617197
2020-11-10 16:23:59,9.522058823529411,2.7230769230769236,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,83.86557278010585,2.8666666666666663,3.125,1.529042615962806,289.35381324617197
2020-11-10 16:24:00,9.522058823529411,2.582089552238806,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,84.18493478554063,2.8666666666666663,3.125,1.529042615962806,289.5321878807686
2020-11-10 16:24:01,9.522058823529411,2.582089552238806,2.5823529411764703,6.107784431137725,2.032258064516129,175.0,84.18493478554063,2.8666666666666663,3.125,1.529042615962806,289.5321878807686
2020-11-10 16:24:02,9.522058823529411,2.582089552238806,2.5823529411764703,6.107784431137725,0.4901315789473685,175.0,84.18493478554063,2.625,3.125,1.529042615962806,287.7483947285332
2020-11-10 16:24:03,9.522058823529411,2.582089552238806,2.4563492063492065,6.107784431137725,0.4901315789473685,175.0,84.18493478554063,2.625,3.125,1.529042615962806,287.62239099370595
2020-11-10 16:24:04,9.522058823529411,2.582089552238806,2.4563492063492065,6.107784431137725,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.529042615962806,294.81081172478673
2020-11-10 16:24:05,9.522058823529411,2.582089552238806,2.585412667946257,6.107784431137725,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.529042615962806,294.93987518638374
2020-11-10 16:24:06,9.522058823529411,2.582089552238806,2.585412667946257,7.0933014354066986,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.529042615962806,295.9253921906527
2020-11-10 16:24:07,9.522058823529411,2.582089552238806,2.585412667946257,7.0933014354066986,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.529042615962806,295.9253921906527
2020-11-10 16:24:08,9.522058823529411,2.582089552238806,2.585412667946257,7.0933014354066986,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.5128487033240132,295.90919827801395
2020-11-10 16:24:09,10.465116279069766,2.582089552238806,2.585412667946257,7.0933014354066986,0.4901315789473685,175.0,91.3733555166214,2.625,3.125,1.5375001111254325,296.87690714135573
