Time,frontend,adservice,emailservice,cartservice,recommendationservice,paymentservice,currencyservice,productcatalogservice,shippingservice,redis-cart,checkoutservice,Total
2020-11-25 15:47:26,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:27,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:28,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:29,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:30,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:31,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:32,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:33,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:34,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:35,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:36,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:37,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:38,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:39,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:40,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:41,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:42,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:43,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:44,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:45,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:46,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:47,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:48,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:49,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:50,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:51,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:52,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:53,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:54,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:55,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:56,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:57,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:58,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:47:59,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
